EstacaoCodigo,NivelConsistencia,Data,Hora,MediaDiaria,MetodoObtencaoVazoes,Maxima,Minima,Media,DiaMaxima,DiaMinima,MaximaStatus,MinimaStatus,MediaStatus,MediaAnual,MediaAnualStatus,Vazao01,Vazao02,Vazao03,Vazao04,Vazao05,Vazao06,Vazao07,Vazao08,Vazao09,Vazao10,Vazao11,Vazao12,Vazao13,Vazao14,Vazao15,Vazao16,Vazao17,Vazao18,Vazao19,Vazao20,Vazao21,Vazao22,Vazao23,Vazao24,Vazao25,Vazao26,Vazao27,Vazao28,Vazao29,Vazao30,Vazao31,Vazao01Status,Vazao02Status,Vazao03Status,Vazao04Status,Vazao05Status,Vazao06Status,Vazao07Status,Vazao08Status,Vazao09Status,Vazao10Status,Vazao11Status,Vazao12Status,Vazao13Status,Vazao14Status,Vazao15Status,Vazao16Status,Vazao17Status,Vazao18Status,Vazao19Status,Vazao20Status,Vazao21Status,Vazao22Status,Vazao23Status,Vazao24Status,Vazao25Status,Vazao26Status,Vazao27Status,Vazao28Status,Vazao29Status,Vazao30Status,Vazao31Status
65370000,2,05-01-1950,,1,1,8578,42,21484,20,1,1,1,1,,0,42,42,1178,1332,1332,1101,87,735,555,51,51,51,51,42,87,622,3185,2522,51,8107,708,483,402,2846,1934,2032,1738,1563,1486,1332,1332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,06-01-1950,,1,1,1486,51,9672,2,29,1,1,1,,0,1409,1486,1332,1178,1178,1024,1409,1486,1255,1178,947,825,825,1024,1101,1332,1101,87,87,825,78,78,69,69,6,6,6,555,51,555,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
65370000,2,07-01-1950,,1,1,429,465,12426,10,3,1,1,1,,0,69,645,465,645,1101,1101,1738,2424,3524,4155,3524,262,164,1486,1255,1024,87,87,87,87,78,78,69,69,6,6,6,6,6,555,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,08-01-1950,,1,1,3298,51,1102,11,1,1,1,1,,0,51,645,78,69,69,6,6,555,51,735,3185,2424,2424,2228,1934,1738,1563,1486,1255,947,825,1255,1178,1024,78,69,645,6,6,555,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,09-01-1950,,1,1,483,51,16388,23,1,1,1,1,,0,51,6,78,1101,1101,947,78,947,3185,262,2959,2032,1486,1486,1255,1101,1024,78,1332,1101,164,262,429,3298,2424,2032,1738,1486,1409,1101,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
65370000,2,10-01-1950,,1,1,345,78,73113,16,1,1,1,1,,0,78,1101,1101,947,2424,3637,3185,1934,2959,262,6935,1205,7225,65,1935,3288,223,1171,1897,1205,9049,766,65,566,524,4965,429,3637,3185,3072,2733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,11-01-1950,,1,1,8578,1486,29506,13,25,1,1,1,,0,2424,2228,213,1934,1738,164,164,213,1934,164,213,7805,8107,538,4425,3637,3524,3185,2733,2846,2846,213,1934,164,1486,213,1738,3524,4695,3185,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
65370000,2,12-01-1950,,1,1,566,87,2336,5,22,1,1,1,,0,3185,3185,3524,4695,538,429,4155,3298,2959,262,2522,213,1738,1934,2326,1934,164,1409,1178,1101,1024,87,87,1738,1836,213,1563,3185,1486,1332,1178,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,01-01-1951,,1,1,483,1024,22908,21,2,1,1,1,,0,1178,1024,1024,1101,1563,213,213,1836,1563,1409,2326,1934,1563,1738,3185,2733,2326,2959,3637,429,4425,3524,2959,2424,2424,2846,2733,213,1934,1738,2228,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,02-01-1951,,1,1,679,1738,36039,22,2,1,1,1,,0,1934,1738,2424,51,4695,4155,375,3411,2959,262,2424,213,1836,1836,2959,3411,3411,3072,2733,262,2326,6645,622,552,4965,58,552,4695,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,
65370000,2,03-01-1951,,1,1,129,164,45931,7,31,1,1,1,,0,4155,375,4965,4965,429,8578,9363,7805,608,4965,4425,402,375,402,6935,51,566,8264,65,4965,4425,3885,3411,3072,2846,2522,2228,2032,1934,1836,164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
