EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
65370000;2;01/07/1948;;1;1;101,92;7,35;18,916;27;13;1;1;1;;0;9,47;9,47;11,01;10,24;9,47;9,47;8,7;8,7;8,7;8,25;8,25;7,8;7,35;12,55;12,55;9,47;10,24;9,47;11,01;14,09;11,01;10,24;11,78;20,32;15,63;69,35;98,56;60,8;35,24;24,24;32,98;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/08/1948;;1;1;79,5;11,01;29,266;2;31;1;1;1;;0;45,6;75,15;55,2;38,85;53,8;45,6;48,3;62,2;46,95;37,5;34,11;38,85;30,72;26,2;23,26;19,34;17,38;16,4;15,63;14,86;14,09;14,09;13,32;11,78;12,55;24,24;20,32;15,63;12,55;11,78;11,01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/09/1948;;1;1;26,2;7,8;11,977;11;9;1;1;1;;0;10,24;10,24;9,47;9,47;8,7;8,7;8,25;8,25;7,8;9,47;25,22;21,3;15,63;13,32;10,24;9,47;9,47;8,7;14,86;11,01;13,32;11,78;10,24;9,47;8,7;10,24;23,26;17,38;13,32;11,78;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65370000;2;01/10/1948;;1;1;193,5;5,1;30,965;28;22;1;1;1;;0;10,24;10,24;9,47;63,6;38,85;24,24;21,3;16,4;14,86;13,32;21,3;17,38;11,78;8,25;7,35;6,9;6,45;6,45;5,55;5,55;5,55;5,1;5,1;15,63;27,33;14,86;13,32;161,4;157,8;87,35;147;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/11/1948;;1;1;48,3;5,1;18,351;1;30;1;1;1;;0;45,6;41,55;31,85;28,46;26,2;27,33;27,33;22,28;21,3;22,28;20,32;18,36;17,38;14,86;14,09;20,32;22,28;20,32;14,09;11,78;11,01;11,01;10,24;10,24;8,7;7,8;6,9;6;5,55;5,1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65370000;2;01/12/1948;;1;1;24,24;4,2;7,173;16;2;1;1;1;;0;4,65;4,2;4,2;5,1;6;6,9;7,8;8,7;7,8;6;4,2;6,9;7,8;4,2;7,35;23,26;8,7;10,24;8,25;6,9;6,45;6,45;6;8,7;7,8;7,8;7,35;6;6;5,55;5,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/01/1949;;1;1;98,56;4,2;15,193;10;3;1;1;1;;0;5,1;4,65;4,2;4,2;4,65;4,65;5,1;20,32;31,85;85,78;36,37;26,2;27,33;30,72;24,24;13,32;16,4;16,4;8,7;9,47;10,24;11,78;8,25;7,35;6,9;6,9;8,7;7,35;8,25;6,9;8,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/02/1949;;1;1;13,32;2,925;5,887;9;28;1;1;1;;0;10,24;6,45;9,47;6,9;5,1;4,2;6,9;9,47;12,55;6,9;6,45;4,2;4,2;3,945;3,945;9,47;8,7;8,7;4,65;4,65;4,2;3,69;3,69;3,435;3,435;3,18;3,18;2,925;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
65370000;2;01/03/1949;;1;1;12,55;2,925;6,163;23;20;1;1;1;;0;3,945;3,945;3,945;3,945;8,25;10,24;10,24;10,24;8,7;8,7;5,1;5,1;4,2;4,2;3,945;3,69;3,435;3,435;3,69;2,925;9,47;7,8;12,55;8,7;8,7;6;6;4,2;4,2;6,45;5,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/04/1949;;1;1;65;3,69;14,807;2;22;1;1;1;;0;23,26;58;37,5;36,37;15,63;13,32;8,7;8,7;8,7;7,35;6,9;5,55;5,1;4,2;4,2;4,2;4,2;4,2;4,2;3,945;3,945;3,69;3,69;58;44,25;23,26;14,86;11,78;8,7;7,8;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
